Category,Category Type,Nominee,Movie,Description,,,
Best Picture,Easy,Belfast,Belfast,,,,
Best Picture,Easy,CODA,CODA,,,,
Best Picture,Easy,Don't Look Up,Don't Look Up,,,,
Best Picture,Easy,Drive My Car,Drive My Car,,,,
Best Picture,Easy,Dune,Dune,,,,
Best Picture,Easy,King Richard,King Richard,,,,
Best Picture,Easy,Licorice Pizza,Licorice Pizza,,,,
Best Picture,Easy,Nightmare Alley,Nightmare Alley,,,,
Best Picture,Easy,The Power of the Dog,The Power of the Dog,,,,
Best Picture,Easy,West Side Story,West Side Story,,,,
Best Director,Easy,Kenneth Branagh,Belfast,,,,
Best Director,Easy,Ryusuke Hamaguchi,Drive My Car,,,,
Best Director,Easy,Paul Thomas Anderson,Licorice Pizza,,,,
Best Director,Easy,Jane Campion,The Power of the Dog,,,,
Best Director,Easy,Steven Spielberg,West Side Story,,,,
Best Actor,Easy,Javier Bardem,Being the Ricardos,as Desi Arnaz,,,
Best Actor,Easy,Benedict Cumberbatch,The Power of the Dog,as Phil Burbank,,,
Best Actor,Easy,Andrew Garfield,"Tick, Tick... Boom!",as Jonathan Larson,,,
Best Actor,Easy,Will Smith,King Richard,as Richard Williams,,,
Best Actor,Easy,Denzel Washington,The Tragedy of Macbeth,as Lord Macbeth,,,
Best Actress,Easy,Jessica Chastain,The Eyes of Tammy Faye,as Tammy Faye Bakker,,,
Best Actress,Easy,Olivia Colman,The Lost Daughter,as Leda Caruso,,,
Best Actress,Easy,Penélope Cruz,Parallel Mothers,as Janis Martínez Moreno,,,
Best Actress,Easy,Nicole Kidman,Being the Ricardos,as Lucille Ball,,,
Best Actress,Easy,Kristen Stewart,Spencer,"as Diana, Princess of Wales",,,
Best Supporting Actor,Medium,Ciarán Hinds,Belfast,as Pop,,#REF!,#REF!
Best Supporting Actor,Medium,Troy Kotsur,CODA,as Frank Rossi,,#REF!,#REF!
Best Supporting Actor,Medium,Jesse Plemons,The Power of the Dog,as George Burbank,,#REF!,#REF!
Best Supporting Actor,Medium,J. K. Simmons,Being the Ricardos,as William Frawley,,#REF!,#REF!
Best Supporting Actor,Medium,Kodi Smit-McPhee,The Power of the Dog,as Peter Gordon,,#REF!,#REF!
Best Supporting Actress,Medium,Jessie Buckley,The Lost Daughter,as Young Leda Caruso,,#REF!,#REF!
Best Supporting Actress,Medium,Ariana DeBose,West Side Story,as Anita,,#REF!,#REF!
Best Supporting Actress,Medium,Judi Dench,Belfast,as Granny,,#REF!,#REF!
Best Supporting Actress,Medium,Kirsten Dunst,The Power of the Dog,as Rose Gordon,,#REF!,#REF!
Best Supporting Actress,Medium,Aunjanue Ellis,King Richard,"as Oracene ""Brandy"" Price",,#REF!,#REF!
Best Original Screenplay,Medium,Belfast,Belfast,Kenneth Branagh,,,
Best Original Screenplay,Medium,Don't Look Up,Don't Look Up,Screenplay by Adam McKay; Story by Adam McKay and David Sirota,,,
Best Original Screenplay,Medium,King Richard,King Richard,Zach Baylin,,,
Best Original Screenplay,Medium,Licorice Pizza,Licorice Pizza,Paul Thomas Anderson,,,
Best Original Screenplay,Medium,The Worst Person in the World,The Worst Person in the World,Eskil Vogt and Joachim Trier,,,
Best Adapted Screenplay,Medium,CODA,CODA,"Sian Heder; based on the original motion picture La Famille Bélier written by Victoria Bedos, Thomas",,,
Best Adapted Screenplay,Medium,Drive My Car,Drive My Car,Ryusuke Hamaguchi and Takamasa Oe; based on the story by Haruki Murakami,,,
Best Adapted Screenplay,Medium,Dune,Dune,"Jon Spaihts, Denis Villeneuve and Eric Roth; based on the novel by Frank Herbert",,,
Best Adapted Screenplay,Medium,The Lost Daughter,The Lost Daughter,Maggie Gyllenhaal; based on the novel by Elena Ferrante,,,
Best Adapted Screenplay,Medium,The Power of the Dog,The Power of the Dog,Jane Campion; based on the novel by Thomas Savage,,,
Best Animated Feature Film,Medium,Encanto,Encanto,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer",,,
Best Animated Feature Film,Medium,Flee,Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie",,,
Best Animated Feature Film,Medium,Luca,Luca,Enrico Casarosa and Andrea Warren,,,
Best Animated Feature Film,Medium,The Mitchells vs. the Machines,The Mitchells vs. the Machines,"Mike Rianda, Phil Lord, Christopher Miller and Kurt Albrecht",,,
Best Animated Feature Film,Medium,Raya and the Last Dragon,Raya and the Last Dragon,"Don Hall, Carlos López Estrada, Osnat Shurer and Peter Del Vecho",,,
Best International Feature Film,Hard,Drive My Car (Japan) in Japanese,Drive My Car,directed by Ryusuke Hamaguchi,,,
Best International Feature Film,Hard,Flee (Denmark) in Danish,Flee,directed by Jonas Poher Rasmussen,,,
Best International Feature Film,Hard,The Hand of God (Italy) in Italian,The Hand of God,directed by Paolo Sorrentino,,,
Best International Feature Film,Hard,Lunana: A Yak in the Classroom (Bhutan) in Dzongkha,Lunana: A Yak in the Classroom,directed by Pawo Choyning Dorji,,,
Best International Feature Film,Hard,The Worst Person in the World (Norway) in Norwegian,The Worst Person in the World,directed by Joachim Trier,,,
Best Documentary Feature,Hard,Ascension,Ascension,"Jessica Kingdon, Kira Simon-Kennedy and Nathan Truesdell",,,
Best Documentary Feature,Hard,Attica,Attica,Stanley Nelson and Traci A. Curry,,,
Best Documentary Feature,Hard,Flee,Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie",,,
Best Documentary Feature,Hard,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Ahmir ""Questlove"" Thompson, Joseph Patel, Robert Fyvolent and David Dinerstein",,,
Best Documentary Feature,Hard,Writing with Fire,Writing with Fire,Rintu Thomas and Sushmit Ghosh,,,
Best Documentary Short Subject,Hard,Audible,Audible,Matthew Ogens and Geoff McLean,,,
Best Documentary Short Subject,Hard,Lead Me Home,Lead Me Home,Pedro Kos and Jon Shenk,,,
Best Documentary Short Subject,Hard,The Queen of Basketball,The Queen of Basketball,Ben Proudfoot,,,
Best Documentary Short Subject,Hard,Three Songs for Benazir,Three Songs for Benazir,Elizabeth Mirzaei and Gulistan Mirzaei,,,
Best Documentary Short Subject,Hard,When We Were Bullies,When We Were Bullies,Jay Rosenblatt,,,
Best Live Action Short Film,Hard,Ala Kachuu - Take and Run,Ala Kachuu - Take and Run,Maria Brendle and Nadine Lüchinger,,,
Best Live Action Short Film,Hard,The Dress,The Dress,Tadeusz Łysiak and Maciej Ślesicki,,,
Best Live Action Short Film,Hard,The Long Goodbye,The Long Goodbye,Aneil Karia and Riz Ahmed,,,
Best Live Action Short Film,Hard,On My Mind,On My Mind,Martin Strange-Hansen and Kim Magnusson,,,
Best Live Action Short Film,Hard,Please Hold,Please Hold,K.D. Dávila and Levin Menekse,,,
Best Animated Short Film,Hard,Affairs of the Art,Affairs of the Art,Joanna Quinn and Les Mills,,,
Best Animated Short Film,Hard,Bestia,Bestia,Hugo Covarrubias and Tevo Díaz,,,
Best Animated Short Film,Hard,BoxBallet,BoxBallet,Anton Dyakov,,,
Best Animated Short Film,Hard,Robin Robin,Robin Robin,Dan Ojari and Mikey Please,,,
Best Animated Short Film,Hard,The Windshield Wiper,The Windshield Wiper,Alberto Mielgo and Leo Sanchez,,,
Best Original Score,Medium,Don't Look Up,Don't Look Up,Nicholas Britell,,,
Best Original Score,Medium,Dune,Dune,Hans Zimmer,,,
Best Original Score,Medium,Encanto,Encanto,Germaine Franco,,,
Best Original Score,Medium,Parallel Mothers,Parallel Mothers,Alberto Iglesias,,,
Best Original Score,Medium,The Power of the Dog,The Power of the Dog,Jonny Greenwood,,,
Best Original Song,Medium,Be Alive (King Richard),King Richard,Music and lyrics by DIXSON and Beyoncé Knowles-Carter,,,
Best Original Song,Medium,Dos Oruguitas (Encanto),Encanto,Music and lyrics by Lin-Manuel Miranda,,,
Best Original Song,Medium,Down to Joy (Belfast),Belfast,Music and lyrics by Van Morrison,,,
Best Original Song,Medium,No Time to Die (No Time to Die),No Time to Die,Music and lyrics by Billie Eilish and Finneas O'Connell,,,
Best Original Song,Medium,Somehow You Do (Four Good Days),Four Good Days,Music and lyrics by Diane Warren,,,
Best Sound,Medium,Belfast,Belfast,"Denise Yarde, Simon Chase, James Mather and Niv Adiri",,,
Best Sound,Medium,Dune,Dune,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett",,,
Best Sound,Medium,No Time to Die,No Time to Die,"Simon Hayes, Oliver Tarney, James Harrison, Paul Massey and Mark Taylor",,,
Best Sound,Medium,The Power of the Dog,The Power of the Dog,"Richard Flynn, Robert Mackenzie and Tara Webb",,,
Best Sound,Medium,West Side Story,West Side Story,"Tod A. Maitland, Gary Rydstrom, Brian Chumney, Andy Nelson and Shawn Murphy",,,
Best Production Design,Medium,Dune,Dune,Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos,,,
Best Production Design,Medium,Nightmare Alley,Nightmare Alley,Production Design: Tamara Deverell; Set Decoration: Shane Vieau,,,
Best Production Design,Medium,The Power of the Dog,The Power of the Dog,Production Design: Grant Major; Set Decoration: Amber Richards,,,
Best Production Design,Medium,The Tragedy of Macbeth,The Tragedy of Macbeth,Production Design: Stefan Dechant; Set Decoration: Nancy Haigh,,,
Best Production Design,Medium,West Side Story,West Side Story,Production Design: Adam Stockhausen; Set Decoration: Rena DeAngelo,,,
Best Cinematography,Medium,Dune,Dune,Greig Fraser,,,
Best Cinematography,Medium,Nightmare Alley,Nightmare Alley,Dan Laustsen,,,
Best Cinematography,Medium,The Power of the Dog,The Power of the Dog,Ari Wegner,,,
Best Cinematography,Medium,The Tragedy of Macbeth,The Tragedy of Macbeth,Bruno Delbonnel,,,
Best Cinematography,Medium,West Side Story,West Side Story,Janusz Kamiński,,,
Best Makeup and Hairstyling,Medium,Coming 2 America,Coming 2 America,"Mike Marino, Stacey Morris and Carla Farmer",,,
Best Makeup and Hairstyling,Medium,Cruella,Cruella,"Nadia Stacey, Naomi Donne and Julia Vernon",,,
Best Makeup and Hairstyling,Medium,Dune,Dune,"Donald Mowat, Love Larson and Eva von Bahr",,,
Best Makeup and Hairstyling,Medium,The Eyes of Tammy Faye,The Eyes of Tammy Faye,"Linda Dowds, Stephanie Ingram and Justin Raleigh",,,
Best Makeup and Hairstyling,Medium,House of Gucci,House of Gucci,"Göran Lundström, Anna Carin Lock and Frederic Aspiras",,,
Best Costume Design,Medium,Cruella,Cruella,Jenny Beavan,,,
Best Costume Design,Medium,Cyrano,Cyrano,Massimo Cantini Parrini and Jacqueline Durran,,,
Best Costume Design,Medium,Dune,Dune,Jacqueline West and Robert Morgan,,,
Best Costume Design,Medium,Nightmare Alley,Nightmare Alley,Luis Sequeira,,,
Best Costume Design,Medium,West Side Story,West Side Story,Paul Tazewell,,,
Best Film Editing,Medium,Don't Look Up,Don't Look Up,Hank Corwin,,,
Best Film Editing,Medium,Dune,Dune,Joe Walker,,,
Best Film Editing,Medium,King Richard,King Richard,Pamela Martin,,,
Best Film Editing,Medium,The Power of the Dog,The Power of the Dog,Peter Sciberras,,,
Best Film Editing,Medium,"Tick, Tick... Boom!","Tick, Tick... Boom!",Myron Kerstein and Andrew Weisblum,,,
Best Visual Effects,Medium,Dune,Dune,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer",,,
Best Visual Effects,Medium,Free Guy,Free Guy,"Swen Gillberg, Bryan Grill, Nikos Kalaitzidis and Dan Sudick",,,
Best Visual Effects,Medium,No Time to Die,No Time to Die,"Charlie Noble, Joel Green, Jonathan Fawkner and Chris Corbould",,,
Best Visual Effects,Medium,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,"Christopher Townsend, Joe Farrell, Sean Noel Walker and Dan Oliver",,,
Best Visual Effects,Medium,Spider-Man: No Way Home,Spider-Man: No Way Home,"Kelly Port, Chris Waegner, Scott Edelstein and Dan Sudick",,,
