Category,Category Type,Nominee,Movie,Description
Best Picture,Easy,American Fiction,American Fiction,
Best Picture,Easy,Anatomy of a Fall,Anatomy of a Fall,
Best Picture,Easy,Barbie,Barbie,
Best Picture,Easy,The Holdovers,The Holdovers,
Best Picture,Easy,Killers of the Flower Moon,Killers of the Flower Moon,
Best Picture,Easy,Maestro,Maestro,
Best Picture,Easy,Oppenheimer,Oppenheimer,
Best Picture,Easy,Past Lives,Past Lives,
Best Picture,Easy,Poor Things,Poor Things,
Best Picture,Easy,The Zone of Interest,The Zone of Interest,
Best Director,Easy,Justine Triet,Anatomy of a Fall,
Best Director,Easy,Martin Scorsese,Killers of the Flower Moon,
Best Director,Easy,Christopher Nolan,Oppenheimer,
Best Director,Easy,Yorgos Lanthimos,Poor Things,
Best Director,Easy,Jonathan Glazer,The Zone of Interest,
Best Actor,Easy,Bradley Cooper,Maestro,Leonard Bernstein
Best Actor,Easy,Colman Domingo,Rustin,Bayard Rustin
Best Actor,Easy,Paul Giamatti,The Holdovers,Paul Hunham
Best Actor,Easy,Cillian Murphy,Oppenheimer,J. Robert Oppenheimer
Best Actor,Easy,Jeffrey Wright,American Fiction,"Thelonious ""Monk"" Ellison"
Best Actress,Easy,Annette Bening,Nyad,Diana Nyad
Best Actress,Easy,Lily Gladstone,Killers of the Flower Moon,Mollie Burkhart
Best Actress,Easy,Sandra Hüller,Anatomy of a Fall,Sandra Voyter
Best Actress,Easy,Carey Mulligan,Maestro,Felicia Montealegre
Best Actress,Easy,Emma Stone,Poor Things,Bella Baxter
Best Supporting Actor,Medium,Sterling K. Brown,American Fiction,"Clifford ""Cliff"" Ellison"
Best Supporting Actor,Medium,Robert De Niro,Killers of the Flower Moon,William King Hale
Best Supporting Actor,Medium,Robert Downey Jr.,Oppenheimer,Lewis Strauss
Best Supporting Actor,Medium,Ryan Gosling,Barbie,Ken
Best Supporting Actor,Medium,Mark Ruffalo,Poor Things,Duncan Wedderburn
Best Supporting Actress,Medium,Emily Blunt,Oppenheimer,Kitty Oppenheimer
Best Supporting Actress,Medium,Danielle Brooks,The Color Purple,Sofia
Best Supporting Actress,Medium,America Ferrera,Barbie,Gloria
Best Supporting Actress,Medium,Jodie Foster,Nyad,Bonnie Stoll
Best Supporting Actress,Medium,Da'Vine Joy Randolph,The Holdovers,Mary Lamb
Best Original Screenplay,Medium,Anatomy of a Fall,Anatomy of a Fall, Justine Triet and Arthur Harari
Best Original Screenplay,Medium,The Holdovers,The Holdovers, David Hemingson
Best Original Screenplay,Medium,Maestro,Maestro, Bradley Cooper and Josh Singer
Best Original Screenplay,Medium,May December,May December,Screenplay by Samy Burch; Story by Samy Burch and Alex Mechanik
Best Original Screenplay,Medium,Past Lives,Past Lives, Celine Song
Best Adapted Screenplay,Medium,American Fiction,American Fiction, Cord Jefferson; based on the novel Erasure by Percival Everett
Best Adapted Screenplay,Medium,Barbie,Barbie, Greta Gerwig and Noah Baumbach; based on characters created by Ruth Handler
Best Adapted Screenplay,Medium,Oppenheimer,Oppenheimer, Christopher Nolan; based on the biography American Prometheus by Kai Bird and Martin J. Sherwin
Best Adapted Screenplay,Medium,Poor Things,Poor Things, Tony McNamara; based on the novel by Alasdair Gray
Best Adapted Screenplay,Medium,The Zone of Interest,The Zone of Interest, Jonathan Glazer; based on the novel by Martin Amis
Best Animated Feature Film,Medium,The Boy and the Heron,The Boy and the Heron, Hayao Miyazaki and Toshio Suzuki
Best Animated Feature Film,Medium,Elemental,Elemental, Peter Sohn and Denise Ream
Best Animated Feature Film,Medium,Nimona,Nimona," Nick Bruno, Troy Quane, Karen Ryan and Julie Zackary"
Best Animated Feature Film,Medium,Robot Dreams,Robot Dreams," Pablo Berger, Ibon Cormenzana, Ignasi Estapé and Sandra Tapia Díaz"
Best Animated Feature Film,Medium,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse," Kemp Powers, Justin K. Thompson, Phil Lord, Christopher Miller and Amy Pascal"
Best International Feature Film,Hard,Io capitano (Italy),Io capitano,directed by Matteo Garrone
Best International Feature Film,Hard,Perfect Days (Japan),Perfect Days,directed by Wim Wenders
Best International Feature Film,Hard,Society of the Snow (Spain),Society of the Snow,directed by J. A. Bayona
Best International Feature Film,Hard,The Teachers' Lounge (Germany),The Teachers' Lounge,directed by ?lker Çatak
Best International Feature Film,Hard,The Zone of Interest (United Kingdom),The Zone of Interest,directed by Jonathan Glazer
Best Documentary Feature,Hard,Bobi Wine: The People's President,Bobi Wine: The People's President,"Moses Bwayo, Christopher Sharp and John Battsek"
Best Documentary Feature,Hard,The Eternal Memory,The Eternal Memory," Maite Alberdi, Juan de Dios Larraín, Pablo Larraín and Rocio Jadue"
Best Documentary Feature,Hard,Four Daughters,Four Daughters, Kaouther Ben Hania and Nadim Cheikhrouha
Best Documentary Feature,Hard,To Kill a Tiger,To Kill a Tiger," Nisha Pahuja, Cornelia Principe and David Oppenheim"
Best Documentary Feature,Hard,20 Days in Mariupol,20 Days in Mariupol," Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath"
