Category,Category Type,Nominee,Movie,Description,
Best Picture,Easy,Anora,Anora,,
Best Picture,Easy,The Brutalist,The Brutalist,,
Best Picture,Easy,A Complete Unknown,A Complete Unknown,,
Best Picture,Easy,Conclave,Conclave,,
Best Picture,Easy,Dune: Part Two,Dune: Part Two,,
Best Picture,Easy,Emilia Pérez,Emilia Pérez,,
Best Picture,Easy,I'm Still Here,I'm Still Here,,
Best Picture,Easy,Nickel Boys,Nickel Boys,,
Best Picture,Easy,The Substance,The Substance,,
Best Picture,Easy,Wicked,Wicked,,
Best Director,Easy,Sean Baker,Anora,,
Best Director,Easy,Brady Corbet,The Brutalist,,
Best Director,Easy,James Mangold,A Complete Unknown,,
Best Director,Easy,Jacques Audiard,Emilia Pérez,,
Best Director,Easy,Coralie Fargeat,The Substance,,
Best Actor,Easy,Adrien Brody,The Brutalist,László Tóth,
Best Actor,Easy,Timothée Chalamet,A Complete Unknown,Bob Dylan,
Best Actor,Easy,Colman Domingo,Sing Sing,"John ""Divine G"" Whitfield",
Best Actor,Easy,Ralph Fiennes,Conclave,Cardinal Thomas Lawrence,
Best Actor,Easy,Sebastian Stan,The Apprentice,Donald Trump,
Best Actress,Easy,Cynthia Erivo,Wicked,Elphaba Thropp,
Best Actress,Easy,Karla Sofía Gascón,Emilia Pérez,"Emilia Pérez / Juan ""Manitas"" Del Monte",
Best Actress,Easy,Mikey Madison,Anora,"Anora ""Ani"" Mikheeva",
Best Actress,Easy,Demi Moore,The Substance,Elisabeth Sparkle,
Best Actress,Easy,Fernanda Torres,I'm Still Here,Eunice Paiva,
Best Supporting Actor,Medium,Yura Borisov,Anora,Igor,
Best Supporting Actor,Medium,Kieran Culkin,A Real Pain,Benji Kaplan,
Best Supporting Actor,Medium,Edward Norton,A Complete Unknown,Pete Seeger,
Best Supporting Actor,Medium,Guy Pearce,The Brutalist,Harrison Lee Van Buren Sr.,
Best Supporting Actor,Medium,Jeremy Strong,The Apprentice,Roy Cohn,
Best Supporting Actress,Medium,Monica Barbaro ,A Complete Unknown,Joan Baez,
Best Supporting Actress,Medium,Ariana Grande ,Wicked,"Galinda ""Glinda"" Upland",
Best Supporting Actress,Medium,Felicity Jones ,The Brutalist,Erzsébet Tóth,
Best Supporting Actress,Medium,Isabella Rossellini ,Conclave,Sister Agnes,
Best Supporting Actress,Medium,Zoe Saldaña ,Emilia Pérez,Rita Mora Castro,
Best Original Screenplay,Medium,Anora,Anora,Sean Baker,
Best Original Screenplay,Medium,The Brutalist,The Brutalist,Brady Corbet and Mona Fastvold,
Best Original Screenplay,Medium,A Real Pain,A Real Pain,Jesse Eisenberg,
Best Original Screenplay,Medium,September 5,September 5,Moritz Binder and Tim Fehlbaum; co-written by Alex David,
Best Original Screenplay,Medium,The Substance,The Substance,Coralie Fargeat,
Best Adapted Screenplay,Medium,A Complete Unknown,A Complete Unknown, James Mangold and Jay Cocks; based on the book Dylan Goes Electric! by Elijah Wald,
Best Adapted Screenplay,Medium,Conclave,Conclave, Peter Straughan; based on the novel by Robert Harris,
Best Adapted Screenplay,Medium,Emilia Pérez,Emilia Pérez," Jacques Audiard; in collaboration with Thomas Bidegain, Léa Mysius, and Nicolas Livecchi; based on the opera libretto Emilia Pérez by Jacques Audiard and the novel Écoute by Boris Razon",
Best Adapted Screenplay,Medium,Nickel Boys,Nickel Boys, RaMell Ross and Joslyn Barnes; based on the novel The Nickel Boys by Colson Whitehead,
Best Adapted Screenplay,Medium,Sing Sing,Sing Sing," Screenplay by Greg Kwedar and Clint Bentley; story by Greg Kwedar, Clint Bentley, Clarence Maclin, and John ""Divine G"" Whitfield; based on the book The Sing Sing Follies by John H. Richardson and the play Breakin' the Mummy's Code by Brent Buell",
Best Animated Feature Film,Medium,Flow,Flow," Gints Zilbalodis, Mat?ss Kaža, Ron Dyens, and Gregory Zalcman",
Best Animated Feature Film,Medium,Inside Out 2,Inside Out 2, Kelsey Mann and Mark Nielsen,
Best Animated Feature Film,Medium,Memoir of a Snail,Memoir of a Snail, Adam Elliot and Liz Kearney,
Best Animated Feature Film,Medium,Wallace & Gromit: Vengeance Most Fowl,Wallace & Gromit: Vengeance Most Fowl," Nick Park, Merlin Crossingham, and Richard Beek",
Best Animated Feature Film,Medium,The Wild Robot,The Wild Robot, Chris Sanders and Jeff Hermann,
Best International Feature Film,Hard,Emilia Pérez (France) in Spanish ,Emilia Pérez,directed by Jacques Audiard,
Best International Feature Film,Hard,Flow (Latvia) ,Flow,directed by Gints Zilbalodis,
Best International Feature Film,Hard,The Girl with the Needle (Denmark) in Danish ,The Girl with the Needle,directed by Magnus von Horn,
Best International Feature Film,Hard,I'm Still Here (Brazil) in Portuguese ,I'm Still Here,directed by Walter Salles,
Best International Feature Film,Hard,The Seed of the Sacred Fig (Germany) in Persian ,The Seed of the Sacred Fig,directed by Mohammad Rasoulof,
Best Documentary Feature,Hard,Black Box Diaries,Black Box Diaries,"Shiori It?, Eric Nyari, and Hanna Aqvilin",
Best Documentary Feature,Hard,No Other Land,No Other Land,"Basel Adra, Rachel Szor, Hamdan Ballal, and Yuval Abraham",
Best Documentary Feature,Hard,Porcelain War,Porcelain War,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska, and Paula DuPré Pesmen",
Best Documentary Feature,Hard,Soundtrack to a Coup d'Etat,Soundtrack to a Coup d'Etat,"Johan Grimonprez, Daan Milius, and Rémi Grellety",
Best Documentary Feature,Hard,Sugarcane,Sugarcane,"Julian Brave NoiseCat, Emily Kassie, and Kellen Quinn",
Best Documentary Short Subject,Hard,Death by Numbers,Death by Numbers,Kim A. Snyder and Janique L. Robillard,
Best Documentary Short Subject,Hard,"I Am Ready, Warden","I Am Ready, Warden",Smriti Mundhra and Maya Gnyp,
Best Documentary Short Subject,Hard,Incident,Incident,Bill Morrison and Jamie Kalven,
Best Documentary Short Subject,Hard,Instruments of a Beating Heart,Instruments of a Beating Heart,Ema Ryan Yamazaki and Eric Nyari,
Best Documentary Short Subject,Hard,The Only Girl in the Orchestra,The Only Girl in the Orchestra,Molly O'Brien and Lisa Remington,
Best Live Action Short Film,Hard,A Lien,A Lien,Sam Cutler-Kreutz and David Cutler-Kreutz,
Best Live Action Short Film,Hard,Anuja,Anuja,Adam J. Graves and Suchitra Mattai,
Best Live Action Short Film,Hard,I'm Not a Robot,I'm Not a Robot,Victoria Warmerdam and Trent,
Best Live Action Short Film,Hard,The Last Ranger,The Last Ranger,Cindy Lee and Darwin Shaw,
Best Live Action Short Film,Hard,The Man Who Could Not Remain Silent,The Man Who Could Not Remain Silent,Nebojša Slijep?evi? and Danijel Pek,
Best Animated Short Film,Hard,Beautiful Men,Beautiful Men,Nicolas Keppens and Brecht Van Elslande,
